split  input_noise  n_agents            protocol  tasks  solve_rate  mean_rounds  median_rounds  mean_ratio_to_lower_bound  mean_duplicate_fraction  mean_map_cosine  mean_top1_accuracy
   id         0.35        16        raw_previous     12    1.000000     3.000000            3.0                   1.500000                 0.500000              NaN                 NaN
   id         0.35        16 relational_pair_map     12    1.000000    10.500000           10.5                   5.250000                 0.846994         0.507718            0.492477
   id         0.35        16 relational_task_map     12    1.000000    10.750000           11.0                   5.375000                 0.850731         0.544422            0.524884
   id         0.35        16          static_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.984953            1.000000
  ood         0.00         1     oracle_previous     12    1.000000    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
  ood         0.00         1     pooled_goal_map     12    0.833333   172.833333          175.5                   7.201389                 0.859073         0.068431            0.052083
  ood         0.00         1        raw_previous     12    1.000000    40.750000           43.5                   1.697917                 0.400646              NaN                 NaN
  ood         0.00         1 relational_pair_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.984836            1.000000
  ood         0.00         1 relational_task_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.985757            1.000000
  ood         0.00         1          static_map     12    0.916667   176.250000          178.0                   7.343750                 0.863046         0.073792            0.054398
  ood         0.00         2     oracle_previous     12    1.000000    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
  ood         0.00         2     pooled_goal_map     12    1.000000    87.416667           88.0                   7.284722                 0.859544         0.068431            0.052083
  ood         0.00         2        raw_previous     12    1.000000    20.666667           22.0                   1.722222                 0.410281              NaN                 NaN
  ood         0.00         2 relational_pair_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.984836            1.000000
  ood         0.00         2 relational_task_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.985757            1.000000
  ood         0.00         2          static_map     12    1.000000    88.500000           89.5                   7.375000                 0.863186         0.073792            0.054398
  ood         0.00         4     oracle_previous     12    1.000000     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
  ood         0.00         4     pooled_goal_map     12    1.000000    44.000000           44.5                   7.333333                 0.860524         0.068431            0.052083
  ood         0.00         4        raw_previous     12    1.000000    10.500000           11.0                   1.750000                 0.421338              NaN                 NaN
  ood         0.00         4 relational_pair_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.984836            1.000000
  ood         0.00         4 relational_task_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.985757            1.000000
  ood         0.00         4          static_map     12    1.000000    44.583333           45.0                   7.430556                 0.864178         0.073792            0.054398
  ood         0.00         8     oracle_previous     12    1.000000     3.000000            3.0                   1.000000                 0.000000         1.000000            1.000000
  ood         0.00         8     pooled_goal_map     12    1.000000    22.166667           22.5                   7.388889                 0.861706         0.068431            0.052083
  ood         0.00         8        raw_previous     12    1.000000     5.500000            6.0                   1.833333                 0.445833              NaN                 NaN
  ood         0.00         8 relational_pair_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.984836            1.000000
  ood         0.00         8 relational_task_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.985757            1.000000
  ood         0.00         8          static_map     12    1.000000    22.416667           22.5                   7.472222                 0.864986         0.073792            0.054398
  ood         0.00        16     oracle_previous     12    1.000000     2.000000            2.0                   1.000000                 0.000000         1.000000            1.000000
  ood         0.00        16     pooled_goal_map     12    1.000000    11.750000           12.0                   5.875000                 0.863747         0.068431            0.052083
  ood         0.00        16        raw_previous     12    1.000000     2.916667            3.0                   1.458333                 0.479167              NaN                 NaN
  ood         0.00        16 relational_pair_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.984836            1.000000
  ood         0.00        16 relational_task_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.985757            1.000000
  ood         0.00        16          static_map     12    1.000000    11.916667           12.0                   5.958333                 0.867521         0.073792            0.054398
  ood         0.10         1     oracle_previous     12    1.000000    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
  ood         0.10         1     pooled_goal_map     12    0.833333   165.583333          162.0                   6.899306                 0.852734         0.064563            0.050347
  ood         0.10         1        raw_previous     12    1.000000    41.166667           41.0                   1.715278                 0.415110              NaN                 NaN
  ood         0.10         1 relational_pair_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.989184            1.000000
  ood         0.10         1 relational_task_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.988339            1.000000
  ood         0.10         1          static_map     12    0.916667   165.750000          166.5                   6.906250                 0.852711         0.074390            0.056134
  ood         0.10         2     oracle_previous     12    1.000000    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
  ood         0.10         2     pooled_goal_map     12    1.000000    83.500000           81.0                   6.958333                 0.852824         0.064563            0.050347
  ood         0.10         2        raw_previous     12    1.000000    20.916667           21.0                   1.743056                 0.424343              NaN                 NaN
  ood         0.10         2 relational_pair_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.989184            1.000000
  ood         0.10         2 relational_task_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.988339            1.000000
  ood         0.10         2          static_map     12    1.000000    83.333333           83.5                   6.944444                 0.852994         0.074390            0.056134
  ood         0.10         4     oracle_previous     12    1.000000     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
  ood         0.10         4     pooled_goal_map     12    1.000000    42.000000           41.0                   7.000000                 0.853618         0.064563            0.050347
  ood         0.10         4        raw_previous     12    1.000000    10.750000           11.0                   1.791667                 0.439141              NaN                 NaN
  ood         0.10         4 relational_pair_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.989184            1.000000
  ood         0.10         4 relational_task_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.988339            1.000000
  ood         0.10         4          static_map     12    1.000000    42.000000           42.0                   7.000000                 0.854272         0.074390            0.056134
  ood         0.10         8     oracle_previous     12    1.000000     3.000000            3.0                   1.000000                 0.000000         1.000000            1.000000
  ood         0.10         8     pooled_goal_map     12    1.000000    21.250000           21.0                   7.083333                 0.855379         0.064563            0.050347
  ood         0.10         8        raw_previous     12    1.000000     5.750000            6.0                   1.916667                 0.475000              NaN                 NaN
  ood         0.10         8 relational_pair_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.989184            1.000000
  ood         0.10         8 relational_task_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.988339            1.000000
  ood         0.10         8          static_map     12    1.000000    21.416667           21.5                   7.138889                 0.857308         0.074390            0.056134
  ood         0.10        16     oracle_previous     12    1.000000     2.000000            2.0                   1.000000                 0.000000         1.000000            1.000000
  ood         0.10        16     pooled_goal_map     12    1.000000    11.416667           11.0                   5.708333                 0.859170         0.064563            0.050347
  ood         0.10        16        raw_previous     12    1.000000     3.000000            3.0                   1.500000                 0.500000              NaN                 NaN
  ood         0.10        16 relational_pair_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.989184            1.000000
  ood         0.10        16 relational_task_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.988339            1.000000
  ood         0.10        16          static_map     12    1.000000    11.583333           11.5                   5.791667                 0.861882         0.074390            0.056134
  ood         0.20         1     oracle_previous     12    1.000000    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
  ood         0.20         1     pooled_goal_map     12    1.000000   168.500000          171.0                   7.020833                 0.855195         0.062047            0.045718
  ood         0.20         1        raw_previous     12    1.000000    39.250000           40.0                   1.635417                 0.381476              NaN                 NaN
  ood         0.20         1 relational_pair_map     12    1.000000    49.500000           24.0                   2.062500                 0.248681         0.929265            0.966435
  ood         0.20         1 relational_task_map     12    1.000000    28.000000           24.0                   1.166667                 0.055556         0.959540            0.983218
  ood         0.20         1          static_map     12    0.833333   165.000000          168.0                   6.875000                 0.852086         0.068287            0.044560
  ood         0.20         2     oracle_previous     12    1.000000    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
  ood         0.20         2     pooled_goal_map     12    1.000000    84.666667           86.0                   7.055556                 0.855970         0.062047            0.045718
  ood         0.20         2        raw_previous     12    1.000000    19.916667           20.0                   1.659722                 0.391115              NaN                 NaN
  ood         0.20         2 relational_pair_map     12    1.000000    24.833333           12.0                   2.069444                 0.249136         0.929265            0.966435
  ood         0.20         2 relational_task_map     12    1.000000    14.000000           12.0                   1.166667                 0.055556         0.959540            0.983218
  ood         0.20         2          static_map     12    1.000000    83.250000           84.0                   6.937500                 0.852214         0.068287            0.044560
  ood         0.20         4     oracle_previous     12    1.000000     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
  ood         0.20         4     pooled_goal_map     12    1.000000    42.416667           43.0                   7.069444                 0.856235         0.062047            0.045718
  ood         0.20         4        raw_previous     12    1.000000    10.083333           10.0                   1.680556                 0.398359              NaN                 NaN
  ood         0.20         4 relational_pair_map     12    1.000000    12.500000            6.0                   2.083333                 0.249709         0.929265            0.966435
  ood         0.20         4 relational_task_map     12    1.000000     7.000000            6.0                   1.166667                 0.055556         0.959540            0.983218
  ood         0.20         4          static_map     12    1.000000    41.916667           42.5                   6.986111                 0.853303         0.068287            0.044560
  ood         0.20         8     oracle_previous     12    1.000000     3.000000            3.0                   1.000000                 0.000000         1.000000            1.000000
  ood         0.20         8     pooled_goal_map     12    1.000000    21.500000           22.0                   7.166667                 0.858218         0.062047            0.045718
  ood         0.20         8        raw_previous     12    1.000000     5.250000            5.0                   1.750000                 0.420833              NaN                 NaN
  ood         0.20         8 relational_pair_map     12    1.000000     6.250000            3.0                   2.083333                 0.249709         0.929265            0.966435
  ood         0.20         8 relational_task_map     12    1.000000     3.500000            3.0                   1.166667                 0.055556         0.959540            0.983218
  ood         0.20         8          static_map     12    1.000000    21.166667           21.5                   7.055556                 0.854554         0.068287            0.044560
  ood         0.20        16     oracle_previous     12    1.000000     2.000000            2.0                   1.000000                 0.000000         1.000000            1.000000
  ood         0.20        16     pooled_goal_map     12    1.000000    11.500000           11.5                   5.750000                 0.861525         0.062047            0.045718
  ood         0.20        16        raw_previous     12    1.000000     2.916667            3.0                   1.458333                 0.479167              NaN                 NaN
  ood         0.20        16 relational_pair_map     12    1.000000     3.666667            2.0                   1.833333                 0.250440         0.929265            0.966435
  ood         0.20        16 relational_task_map     12    1.000000     2.250000            2.0                   1.125000                 0.055556         0.959540            0.983218
  ood         0.20        16          static_map     12    1.000000    11.250000           11.5                   5.625000                 0.856918         0.068287            0.044560
  ood         0.35         1     oracle_previous     12    1.000000    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
  ood         0.35         1     pooled_goal_map     12    1.000000   166.000000          169.5                   6.916667                 0.853607         0.070743            0.056713
  ood         0.35         1        raw_previous     12    1.000000    46.250000           46.0                   1.927083                 0.474135              NaN                 NaN
  ood         0.35         1 relational_pair_map     12    0.916667   165.666667          172.0                   6.902778                 0.850538         0.512922            0.493056
  ood         0.35         1 relational_task_map     12    0.916667   160.000000          162.0                   6.666667                 0.846036         0.552012            0.537616
  ood         0.35         1          static_map     12    1.000000   175.250000          180.0                   7.302083                 0.861641         0.066112            0.049190
  ood         0.35         2     oracle_previous     12    1.000000    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
  ood         0.35         2     pooled_goal_map     12    1.000000    83.250000           85.0                   6.937500                 0.854032         0.070743            0.056713
  ood         0.35         2        raw_previous     12    1.000000    23.333333           23.5                   1.944444                 0.478828              NaN                 NaN
  ood         0.35         2 relational_pair_map     12    1.000000    83.583333           86.0                   6.965278                 0.851202         0.512922            0.493056
  ood         0.35         2 relational_task_map     12    1.000000    80.666667           81.0                   6.722222                 0.846560         0.552012            0.537616
